episode,timestep,reward
2,17,-0.0617
4,26,-0.4231
6,30,-0.1114
8,40,-0.1163
10,46,-0.1902
12,57,0.6821
14,67,-0.2556
16,73,-0.8675
18,76,-0.5828
20,81,-0.5924
22,86,-0.9444
24,90,-0.5559
26,96,-0.8847
28,100,-0.8319
30,108,-0.22
32,111,-0.6464
34,116,-0.3895
36,119,-1.0
38,124,-0.6281
40,128,-0.8301
42,140,-0.9776
44,152,0.2516
46,162,0.7895
48,168,-0.6248
50,180,0.4806
52,185,0.2351
54,189,-0.3796
56,192,-1.0
58,195,-0.9049
60,207,0.3308
62,212,0.1222
64,214,-0.8056
66,227,0.0242
68,230,-0.8254
70,234,-0.9878
72,240,-0.5299
74,254,0.3819
76,260,0.9524
78,275,-0.2326
80,291,1.1621
82,297,0.0527
84,312,-0.1705
86,319,0.9425
88,330,0.973
90,335,-0.8039
92,341,-0.6546
94,347,0.4653
96,355,-0.3642
98,365,-0.8093
100,377,2.1579
102,385,0.0523
104,394,-0.3304
106,411,-0.1906
108,427,3.3195
110,444,1.1329
112,461,0.6901
114,470,1.0553
116,474,0.3991
118,477,-0.9452
120,488,0.8218
122,502,0.9495
124,508,-0.1882
126,520,1.3779
128,527,-0.4366
130,530,-0.603
132,539,-0.8829
134,554,2.3019
136,560,-0.0246
138,562,-1.0
140,570,-0.0997
142,584,0.1175
144,595,0.3764
