episode,timestep,reward
2,8,-0.6091
4,14,-0.6764
6,16,-0.9596
8,20,-0.6704
10,24,-1.0
12,27,-0.7654
14,33,-0.0408
16,35,-0.7713
18,40,-0.7462
20,42,-0.9561
22,55,-0.322
24,59,-0.5484
26,64,-0.1829
28,72,-0.2403
30,77,-0.5645
32,80,-0.9854
34,88,-0.6756
36,90,-0.5478
38,93,-0.8563
40,98,-0.8648
42,101,-0.312
44,108,-0.9481
46,110,-0.6142
48,118,-0.2157
50,120,-1.0
52,127,-0.6084
54,137,-0.3922
56,140,-0.2311
58,151,-0.1819
60,156,-0.6162
62,161,-0.6544
64,167,-0.435
66,173,-0.0012
68,177,-0.4654
70,188,0.239
72,190,-0.2707
74,194,-0.9434
76,207,-0.5456
78,213,0.835
80,224,-0.2659
82,232,0.4107
84,246,1.7145
86,251,-0.257
88,259,-0.298
90,263,-0.8782
92,272,-0.059
94,285,0.8702
96,297,-0.513
98,308,-0.3656
100,312,-0.0761
102,322,-0.53
104,325,-0.5842
106,331,-0.9293
108,333,-0.7438
110,342,0.3402
112,351,-0.1707
114,355,-0.5085
116,363,-0.5615
118,377,-0.0312
120,381,0.6836
122,393,-0.6607
124,395,-0.1588
126,399,-0.7682
128,402,-0.7449
130,411,-0.6398
132,415,-0.3805
134,426,-0.9526
136,430,0.8024
138,434,-0.7894
140,438,-0.5424
142,444,-0.71
144,450,-0.2978
146,455,-0.608
148,464,0.0614
150,468,-0.9158
152,477,0.2418
154,487,0.093
156,495,-0.4647
158,503,1.3481
160,505,-1.0
162,511,-0.6332
164,514,-0.5117
166,524,-1.0
168,530,0.9213
170,538,-1.0
172,548,-0.1929
174,560,1.4562
176,571,-0.6999
178,576,0.7699
180,583,-0.5161
182,589,-0.3209
184,591,-0.6122
186,596,-0.8785
188,601,-0.3161
190,611,-0.9999
192,627,1.2383
194,632,-0.3739
196,642,0.7338
198,653,0.4533
200,658,-1.0
202,675,1.6088
204,682,0.2143
206,692,-0.8457
208,707,2.3391
210,713,-0.4264
212,721,0.0362
214,734,0.1159
216,754,2.8032
218,762,1.2739
220,782,2.3162
222,786,2.064
224,795,-0.0402
226,802,-0.4114
228,807,-0.4844
230,816,-0.5072
232,822,-0.0532
234,834,-0.1231
236,851,2.8954
238,857,-0.0705
240,863,-0.1829
242,873,-0.5224
244,878,0.0088
246,885,-0.58
248,898,-0.483
250,914,0.6199
252,925,0.0901
254,936,0.573
256,956,2.1303
258,961,0.8696
260,967,-0.9994
262,970,-0.4538
264,981,-1.0
266,985,1.1759
268,991,-0.9289
270,996,-0.4745
272,1002,-0.1206
274,1013,1.591
276,1024,-0.7373
278,1030,0.5293
280,1041,-0.3168
282,1044,-0.2192
284,1051,-0.4289
286,1060,-0.6132
288,1066,-0.9443
290,1077,0.5486
292,1082,-0.8341
294,1084,-0.8251
296,1088,-0.8316
298,1102,-0.5883
300,1109,1.7949
302,1120,3.3052
304,1128,-0.4745
306,1136,0.5051
308,1143,-0.8637
310,1155,0.2334
312,1163,-0.6803
314,1174,1.9806
316,1180,-0.2415
318,1187,-1.0
320,1196,-0.075
322,1202,-0.4735
324,1208,0.1316
326,1212,-1.0
328,1214,-0.8368
330,1220,-0.9403
332,1232,0.0301
334,1237,-0.0355
336,1242,-0.5588
338,1246,-0.8717
340,1255,0.0845
342,1262,-0.469
344,1273,-0.1294
346,1277,-0.266
348,1283,-0.1968
350,1290,-0.575
352,1301,-0.7533
354,1303,0.9188
356,1319,0.0112
358,1329,0.8172
360,1335,0.1878
362,1337,-0.6849
364,1351,-0.2329
366,1370,0.5815
368,1381,0.6737
370,1384,-0.0895
