episode,timestep,reward
2,30,3.1768
4,50,1.5743
6,70,6.4543
8,90,0.89
10,110,1.9788
12,130,3.4457
14,150,0.7695
16,170,3.6763
18,190,2.7984
20,210,1.9273
22,230,3.3189
24,250,5.1157
26,270,0.7969
28,290,1.0715
30,310,4.0557
32,330,2.0447
34,350,3.547
36,370,2.5348
38,390,2.9555
40,410,2.2765
42,430,1.6058
44,450,3.1586
46,470,2.3519
48,490,3.0116
50,510,4.2363
52,530,2.3933
54,550,2.5176
56,570,4.5229
58,590,1.942
60,610,3.3395
62,630,1.9299
64,650,1.2863
66,670,3.7537
68,690,3.9692
70,710,2.5693
72,730,2.4953
74,750,4.7684
76,770,2.655
78,790,2.9337
80,810,4.1998
82,830,1.4061
84,850,6.3625
86,870,1.8594
88,890,2.1567
90,910,4.2892
92,930,4.8174
94,950,2.895
96,970,2.6416
98,990,5.0142
100,1010,4.0472
102,1030,2.846
104,1050,2.4287
106,1070,2.5235
108,1090,3.9074
110,1110,1.3398
112,1130,4.9195
114,1150,5.7025
116,1170,3.2905
118,1190,0.231
120,1210,3.3858
122,1230,2.1318
124,1250,3.5871
126,1270,3.9618
128,1290,1.7483
130,1310,3.002
132,1330,4.3539
134,1350,4.1444
136,1370,4.9533
138,1390,1.7512
140,1410,2.8252
142,1430,2.3301
144,1450,2.47
146,1470,3.661
148,1490,5.1877
150,1510,4.1124
152,1530,3.729
154,1550,5.5117
156,1570,3.5567
158,1590,4.2638
160,1610,3.0305
162,1630,3.349
164,1650,2.7171
166,1670,2.1735
168,1690,2.6342
170,1710,3.4818
172,1730,2.9063
174,1750,4.0266
176,1770,4.6635
178,1790,4.0116
180,1810,2.693
182,1830,1.2242
184,1850,2.1354
186,1870,3.3982
188,1890,4.5915
190,1910,2.3916
192,1930,6.4539
194,1950,3.2484
196,1970,3.265
198,1990,4.0475
200,2010,4.0842
202,2030,3.436
204,2050,3.8832
206,2070,4.6894
208,2090,3.2879
210,2110,4.1293
212,2130,6.8946
214,2150,3.6966
216,2170,2.7922
218,2190,2.4019
220,2210,2.2672
222,2230,4.4969
224,2250,4.7551
226,2270,2.4087
228,2290,5.8794
230,2310,2.4934
232,2330,1.7623
234,2350,4.2528
236,2370,1.6265
238,2390,5.1879
240,2410,2.9417
242,2430,5.8041
244,2450,2.5573
246,2470,4.4044
248,2490,3.8109
250,2510,2.6222
252,2530,2.6081
254,2550,6.4126
256,2570,4.5682
258,2590,4.1357
260,2610,4.5
262,2630,5.1699
264,2650,2.6063
266,2670,1.6017
268,2690,5.5646
270,2710,5.0316
272,2730,5.5662
274,2750,3.0905
276,2770,5.5421
278,2790,5.517
280,2810,3.8078
282,2830,3.2318
284,2850,2.428
286,2870,3.4661
288,2890,3.9916
290,2910,1.7603
292,2930,4.2109
294,2950,2.8849
296,2970,4.8313
298,2990,3.5623
300,3010,1.2342
302,3030,3.2521
304,3050,4.3242
306,3070,6.2343
308,3090,2.5586
310,3110,5.0136
312,3130,5.2263
314,3150,6.0413
316,3170,5.2269
318,3190,5.169
320,3210,5.0597
322,3230,3.5367
324,3250,3.9922
326,3270,4.3903
328,3290,2.2049
330,3310,5.714
332,3330,2.9912
334,3350,5.4013
336,3370,4.4007
338,3390,1.3555
340,3410,4.1211
342,3430,3.8465
344,3450,4.0849
346,3470,6.1246
348,3490,4.2775
350,3510,3.5676
352,3530,5.5992
354,3550,3.4197
356,3570,4.9998
358,3590,5.2062
360,3610,3.0865
362,3630,5.7011
364,3650,4.5388
366,3670,4.1472
368,3690,6.639
370,3710,4.2588
372,3730,5.4568
374,3750,3.4341
376,3770,3.202
378,3790,3.985
380,3810,3.8111
382,3830,3.7418
384,3850,5.2164
386,3870,5.0901
388,3890,3.4609
390,3910,5.9185
392,3930,5.2684
394,3950,5.4931
396,3970,3.9434
398,3990,3.5931
400,4010,5.8271
402,4030,3.9267
404,4050,2.3548
406,4070,5.3469
408,4090,3.6404
410,4110,3.2376
412,4130,2.5759
414,4150,2.9281
416,4170,5.98
418,4190,4.3413
420,4210,4.4487
422,4230,4.3204
424,4250,5.6466
426,4270,4.047
428,4290,6.6143
430,4310,0.5531
432,4330,3.1919
434,4350,4.3923
436,4370,4.0233
438,4390,7.0056
440,4410,2.2208
442,4430,2.8096
444,4450,4.6452
446,4470,4.1555
448,4490,3.5768
450,4510,2.0239
452,4530,2.5208
454,4550,5.1232
456,4570,2.7929
458,4590,3.3487
460,4610,4.9068
462,4630,4.8557
464,4650,3.6492
466,4670,5.7048
468,4690,4.3399
470,4710,3.6624
472,4730,5.8354
474,4750,5.0675
476,4770,6.1073
478,4790,5.3871
480,4810,1.5838
482,4830,4.9742
484,4850,0.7664
486,4870,4.8643
488,4890,5.6296
490,4910,0.9527
492,4930,6.8329
494,4950,4.3447
496,4970,5.6061
498,4990,4.0652
500,5010,5.4312
502,5030,4.385
504,5050,1.0026
506,5070,5.4813
508,5090,4.2595
510,5110,5.9097
512,5130,4.9938
514,5150,3.4131
516,5170,1.0746
518,5190,4.3191
520,5210,2.9316
522,5230,5.0586
524,5250,5.5047
526,5270,4.9547
528,5290,3.8945
530,5310,3.2975
