episode,timestep,reward
2,30,0.0
4,50,1.0
6,70,0.0
8,90,0.25
10,110,0.0
12,130,1.75
14,150,0.0
16,170,0.0
18,190,0.0
20,210,0.0
22,230,0.0
24,250,0.25
26,270,1.0
28,290,1.25
30,310,0.0
32,330,1.75
34,350,0.5
36,370,1.0
38,390,0.0
40,410,1.0
42,430,1.5
44,450,0.5
46,470,0.75
48,490,3.0
50,510,1.0
52,530,2.0
54,550,2.0
56,570,0.0
58,590,1.75
60,610,3.75
62,630,2.25
64,650,2.5
66,670,2.5
68,690,2.75
70,710,2.75
72,730,3.75
74,750,3.75
76,770,2.0
78,790,2.5
80,810,3.0
82,830,1.25
84,850,3.0
86,870,1.5
88,890,1.5
90,910,1.5
92,930,1.75
94,950,2.25
96,970,2.25
98,990,2.75
100,1010,2.0
102,1030,2.75
104,1050,3.0
106,1070,3.0
108,1090,3.5
110,1110,1.75
112,1130,3.25
114,1150,3.75
116,1170,4.0
118,1190,3.75
120,1210,2.75
122,1230,1.0
124,1250,4.25
126,1270,3.25
128,1290,2.75
130,1310,2.0
132,1330,3.5
134,1350,3.0
136,1370,2.75
138,1390,3.25
140,1410,2.75
142,1430,3.25
144,1450,3.25
146,1470,3.0
148,1490,3.5
150,1510,2.5
152,1530,3.0
154,1550,3.0
156,1570,2.5
158,1590,3.0
160,1610,3.0
162,1630,3.75
164,1650,4.25
166,1670,3.25
168,1690,4.0
170,1710,3.5
172,1730,4.0
174,1750,2.5
176,1770,3.0
178,1790,3.5
180,1810,4.0
182,1830,2.25
184,1850,3.5
186,1870,3.25
188,1890,4.25
190,1910,2.0
192,1930,2.25
194,1950,3.0
196,1970,3.75
198,1990,3.25
200,2010,5.0
202,2030,3.25
204,2050,3.5
206,2070,3.0
208,2090,3.25
210,2110,3.25
212,2130,3.0
214,2150,2.5
216,2170,2.25
218,2190,4.75
220,2210,4.0
222,2230,3.0
224,2250,4.25
226,2270,3.0
228,2290,3.5
230,2310,3.75
232,2330,3.0
234,2350,3.25
236,2370,3.75
238,2390,3.25
240,2410,2.75
242,2430,3.75
244,2450,3.25
246,2470,3.75
248,2490,3.75
250,2510,3.25
252,2530,3.75
254,2550,4.25
256,2570,3.5
258,2590,3.5
260,2610,2.5
262,2630,3.0
264,2650,5.0
266,2670,4.75
268,2690,0.0
270,2710,3.5
272,2730,4.5
274,2750,5.25
276,2770,4.25
278,2790,4.0
280,2810,3.5
282,2830,4.5
284,2850,5.0
286,2870,3.75
288,2890,5.5
290,2910,4.25
292,2930,3.25
294,2950,4.75
296,2970,3.75
298,2990,4.75
300,3010,4.25
302,3030,4.0
304,3050,4.5
306,3070,3.0
308,3090,4.0
310,3110,5.0
312,3130,3.75
314,3150,4.0
316,3170,4.25
318,3190,3.25
320,3210,4.75
322,3230,5.75
324,3250,5.75
326,3270,4.75
328,3290,3.25
330,3310,3.5
332,3330,3.5
334,3350,5.0
336,3370,5.25
338,3390,5.75
340,3410,5.25
342,3430,3.75
344,3450,4.5
346,3470,5.0
348,3490,5.75
350,3510,4.75
352,3530,5.75
354,3550,6.25
356,3570,6.75
358,3590,5.0
360,3610,5.0
362,3630,4.75
364,3650,6.0
366,3670,4.25
368,3690,6.25
370,3710,5.5
372,3730,5.75
374,3750,6.25
376,3770,4.0
378,3790,5.0
380,3810,5.5
382,3830,6.0
384,3850,5.25
386,3870,6.25
388,3890,5.5
390,3910,6.5
392,3930,4.75
394,3950,5.75
396,3970,5.0
398,3990,5.0
400,4010,5.75
402,4030,6.75
404,4050,4.75
406,4070,4.75
408,4090,3.25
410,4110,4.75
412,4130,5.0
414,4150,5.5
416,4170,3.75
418,4190,5.75
420,4210,6.25
422,4230,6.0
424,4250,7.0
426,4270,3.75
428,4290,6.0
430,4310,6.5
432,4330,6.25
434,4350,7.0
436,4370,6.75
438,4390,4.5
440,4410,6.0
442,4430,5.25
444,4450,6.25
446,4470,4.75
448,4490,6.0
450,4510,5.5
452,4530,4.75
454,4550,6.5
456,4570,6.5
458,4590,6.75
460,4610,7.0
462,4630,6.75
464,4650,6.5
466,4670,6.25
468,4690,6.0
470,4710,4.25
472,4730,6.0
474,4750,6.75
476,4770,6.0
478,4790,3.75
480,4810,5.25
482,4830,4.75
484,4850,6.75
486,4870,4.75
488,4890,6.0
490,4910,6.25
492,4930,5.25
494,4950,6.75
496,4970,4.75
498,4990,6.25
500,5010,5.5
502,5030,6.0
504,5050,5.5
506,5070,6.0
508,5090,5.5
510,5110,6.5
512,5130,6.25
514,5150,6.75
516,5170,7.0
518,5190,5.75
520,5210,6.25
522,5230,5.75
524,5250,5.25
526,5270,5.75
528,5290,5.0
530,5310,5.75
532,5330,5.5
534,5350,5.25
536,5370,6.5
538,5390,5.75
540,5410,6.25
542,5430,6.0
544,5450,5.0
546,5470,6.5
548,5490,5.75
550,5510,6.25
552,5530,6.5
554,5550,6.75
556,5570,6.5
558,5590,6.0
560,5610,6.0
562,5630,5.75
564,5650,6.25
566,5670,6.0
568,5690,7.0
570,5710,6.25
572,5730,6.5
574,5750,6.5
576,5770,7.25
