episode,timestep,reward
2,3,-1.0
4,9,-0.5484
6,12,-1.0
8,18,-0.4626
10,20,-0.865
12,22,-1.0
14,25,-1.0
16,29,-0.8398
18,35,-0.3629
20,39,-1.0
22,42,-0.7494
24,48,-0.3869
26,51,-0.0395
28,58,-0.5466
30,61,-0.5455
32,66,-0.9947
34,74,-0.1856
36,80,-0.3634
38,84,-0.8517
40,86,-0.7966
42,88,-1.0
44,91,-0.7698
46,93,-1.0
48,95,-1.0
50,97,-1.0
52,100,-1.0
54,103,-0.9808
56,106,-0.6297
58,110,-0.6454
60,121,0.7737
62,124,-1.0
64,132,-0.0899
66,136,-0.1628
68,139,-1.0
70,145,-0.5658
72,148,-0.4259
74,153,-0.5924
76,156,-0.3944
78,160,-0.0023
80,170,-0.7557
82,173,0.4979
84,176,-0.8857
86,178,-0.8523
88,190,-0.6404
90,192,1.0486
92,194,-1.0
94,199,-0.9536
96,202,-0.5533
98,209,-0.8696
100,211,-0.6192
102,218,-1.0
104,223,-0.0862
106,227,-0.6371
108,230,-0.833
110,234,-0.7781
112,236,-1.0
114,239,-1.0
116,246,-0.7784
118,249,-0.2226
120,252,-0.8627
122,254,-1.0
124,256,-1.0
126,260,-0.6841
128,264,-0.6335
130,267,-1.0
132,275,-0.6804
134,277,-0.4362
136,283,-1.0
138,289,0.4426
140,291,-1.0
142,293,-1.0
144,297,-1.0
146,299,-0.9225
148,301,-1.0
150,306,-0.7513
152,310,-0.9554
154,315,-0.4238
156,317,-0.826
158,324,-0.2389
160,327,-0.773
162,329,-0.9849
164,336,-0.99
166,340,0.4814
168,343,-0.7893
170,345,-1.0
172,348,-1.0
174,350,-0.8466
176,353,-0.8319
178,358,-0.8328
180,362,-0.5875
182,366,-0.7707
184,370,-0.7827
186,372,-0.8961
188,374,-1.0
190,377,-1.0
192,381,-0.8627
194,384,-0.8255
196,387,-0.9062
198,389,-1.0
200,392,-1.0
202,401,-0.7315
204,404,-0.4316
206,409,-0.8415
208,411,-0.7213
210,414,-0.9256
212,416,-1.0
214,419,-1.0
216,421,-0.8232
218,423,-1.0
220,427,-0.9139
222,430,-0.6715
224,434,-0.8795
226,437,-0.8244
228,439,-1.0
230,444,-0.3781
232,452,0.3265
234,456,-0.7558
236,459,-0.8618
238,462,-0.9245
240,465,-1.0
242,475,-0.4298
244,477,-0.0776
246,479,-1.0
248,482,-0.9176
250,487,-0.5804
252,495,-0.4183
254,500,-0.5929
256,503,-0.3317
258,506,-0.775
260,513,-0.8373
262,516,-0.6749
264,519,-0.9884
266,522,-0.8748
268,524,-0.7194
270,528,-0.8732
272,530,-0.9255
274,532,-1.0
276,535,-0.8746
278,537,-1.0
280,540,-1.0
282,542,-0.7454
284,544,-1.0
286,548,-0.9459
288,551,-0.941
290,554,-0.9692
292,558,-1.0
294,560,-0.8423
296,564,-0.9996
298,566,-0.7248
300,568,-1.0
302,571,-0.789
304,575,-0.8544
306,579,-0.9981
308,581,-0.8701
310,584,-1.0
312,588,-0.9173
314,590,-0.8411
316,593,-1.0
318,596,-0.7439
320,602,-0.9306
322,604,-0.4415
324,606,-1.0
326,608,-1.0
328,611,-1.0
330,614,-0.6946
332,616,-1.0
334,618,-1.0
336,621,-1.0
338,624,-0.8609
340,627,-1.0
342,631,-0.9044
344,639,-0.2834
346,641,-0.2696
348,643,-1.0
350,646,-1.0
352,649,-0.8279
354,651,-1.0
356,657,-1.0
358,659,-0.4559
360,665,-0.9138
362,668,-0.1638
364,671,-0.9847
366,673,-1.0
368,677,-0.8808
370,681,-0.905
372,684,-0.7025
374,686,-1.0
376,689,-0.9307
378,693,-0.8195
380,696,-0.739
382,699,-1.0
384,701,-0.7462
386,705,-0.9328
388,707,-0.9444
390,710,-0.7815
392,713,-1.0
394,718,-0.5684
396,721,-1.0
398,724,-0.9157
400,728,-0.7157
402,734,-0.8463
404,736,-0.9288
406,739,-0.9594
408,742,-0.8031
410,749,-0.8328
412,751,0.0424
414,754,-0.7314
416,756,-1.0
418,758,-1.0
420,761,-0.867
422,769,-0.3628
424,771,-0.9228
426,773,-1.0
428,775,-1.0
430,779,-0.9676
432,782,-0.7725
434,785,-1.0
436,790,-0.8369
438,794,-0.4169
440,796,-0.8761
442,802,-0.4605
444,805,-0.6365
446,808,-0.8753
448,811,-1.0
450,815,-0.5752
452,819,-0.8929
454,821,-0.8575
456,825,-0.8736
458,828,-1.0
460,831,-0.692
462,834,-0.964
464,836,-1.0
466,839,-1.0
468,841,-0.9086
470,844,-0.896
472,848,-0.8878
474,850,-0.762
476,852,-1.0
478,855,-0.9579
480,859,-0.9074
482,862,-0.8955
484,865,-0.9015
486,867,-1.0
488,870,-0.8382
490,874,-0.847
492,878,-0.7513
494,881,-0.8314
496,884,-0.7998
498,890,-0.6108
500,895,-0.9799
502,897,-0.6652
504,899,-1.0
506,903,-1.0
508,905,-0.8116
510,908,-0.7449
512,911,-1.0
514,913,-0.9218
516,918,-0.8342
518,920,-0.5697
520,922,-1.0
522,927,-0.4875
524,929,-1.0
526,935,-0.3833
528,937,-1.0
530,939,-1.0
532,943,-1.0
534,946,-0.8317
536,948,-1.0
538,952,-1.0
540,955,-0.5091
542,958,-1.0
544,960,-0.6655
546,962,-1.0
548,964,-1.0
550,967,-0.7886
552,969,-1.0
554,973,-1.0
556,977,-0.5751
558,980,-0.9927
560,985,-0.7992
562,987,-0.9313
564,989,-1.0
566,992,-1.0
568,994,-0.8625
570,996,-1.0
572,999,-1.0
574,1001,-0.9079
576,1003,-1.0
578,1007,-0.9045
580,1009,-1.0
582,1011,-1.0
584,1013,-1.0
586,1016,-0.9709
588,1019,-0.9955
590,1021,-1.0
592,1023,-1.0
594,1026,-0.852
596,1028,-1.0
598,1030,-1.0
600,1033,-1.0
602,1036,-0.8852
604,1041,-0.9053
606,1043,-0.9427
608,1046,-0.988
610,1048,-1.0
612,1050,-1.0
614,1053,-0.6924
616,1060,-0.7429
618,1062,-0.8951
620,1064,-1.0
622,1068,-1.0
624,1076,-0.7191
626,1079,0.4181
628,1082,-0.9635
630,1086,0.0391
632,1088,-1.0
634,1091,-0.9279
636,1094,-1.0
638,1096,-0.8037
640,1100,-0.7578
642,1103,-1.0
644,1106,-0.7238
646,1108,-1.0
648,1110,-1.0
650,1112,-1.0
652,1116,-0.7826
654,1118,-0.7631
656,1120,-1.0
658,1122,-1.0
660,1124,-1.0
662,1126,-1.0
664,1129,-0.9081
666,1131,-1.0
668,1133,-1.0
670,1135,-1.0
672,1138,-0.9185
674,1142,-0.8987
676,1145,-0.937
678,1148,-1.0
680,1154,-0.3118
682,1156,-0.9212
684,1158,-1.0
686,1160,-1.0
688,1163,-0.7735
690,1166,-1.0
692,1168,-0.9439
694,1171,-0.6911
696,1174,-0.9942
698,1178,-1.0
700,1181,-0.7182
702,1184,-0.7758
704,1187,-1.0
706,1190,-0.6424
708,1192,-1.0
710,1194,-1.0
712,1198,-0.8048
714,1201,-0.7689
716,1203,-1.0
718,1205,-1.0
720,1207,-1.0
722,1210,-0.8911
724,1212,-1.0
726,1216,-1.0
728,1218,-0.6892
730,1221,-0.8913
732,1226,-0.9323
734,1230,-0.5303
736,1232,-0.4021
738,1234,-1.0
740,1236,-1.0
742,1238,-1.0
744,1241,-1.0
746,1243,-0.7532
748,1245,-1.0
750,1248,-0.9672
752,1250,-1.0
754,1253,-1.0
756,1255,-0.9623
758,1257,-1.0
760,1260,-1.0
762,1262,-0.7046
764,1267,-0.9479
766,1269,-0.8449
768,1271,-1.0
770,1273,-1.0
772,1276,-1.0
774,1278,-0.6567
776,1282,-0.9906
778,1285,-0.9721
780,1287,-1.0
782,1289,-1.0
784,1293,-1.0
786,1296,-0.4878
788,1299,-1.0
790,1301,-0.8394
792,1303,-1.0
794,1305,-1.0
796,1309,-0.885
798,1312,-0.8441
800,1316,-0.6724
802,1321,-0.5798
804,1324,-0.6924
806,1327,-0.793
808,1329,-0.8725
810,1332,-0.7446
812,1337,-0.9585
814,1340,-0.62
816,1343,-0.9461
818,1345,-1.0
820,1347,-1.0
822,1349,-1.0
824,1351,-1.0
826,1353,-1.0
828,1355,-1.0
830,1357,-1.0
832,1359,-1.0
834,1362,-0.9307
836,1365,-1.0
838,1367,-0.9611
840,1372,-0.3339
842,1374,-1.0
844,1377,-0.7938
846,1384,-0.6913
848,1389,-0.3909
850,1393,-0.5847
852,1395,-1.0
854,1399,-1.0
856,1401,-0.6727
858,1404,-0.812
860,1408,-0.7148
862,1412,-0.8467
864,1416,-0.7121
866,1419,-0.6224
868,1421,-1.0
870,1425,-0.9269
872,1427,-0.8837
874,1429,-1.0
876,1431,-1.0
878,1433,-1.0
880,1438,-0.7879
882,1441,-0.568
884,1445,-1.0
886,1447,-0.6144
888,1451,-0.7611
890,1453,-1.0
892,1455,-1.0
894,1458,-1.0
896,1462,-0.6878
898,1465,-0.6631
900,1469,-0.9465
902,1471,-0.659
904,1474,-1.0
906,1478,-0.2176
908,1481,-1.0
910,1484,-0.4409
912,1487,-0.8063
914,1492,-0.5351
916,1494,-1.0
918,1497,-0.8755
920,1501,-0.6861
922,1504,-0.9241
924,1507,-1.0
926,1509,-0.8991
928,1513,-0.7802
930,1516,-1.0
932,1519,-0.7804
934,1524,-0.221
936,1527,-1.0
938,1529,-0.7802
940,1532,-0.8705
942,1537,-0.368
944,1541,-1.0
946,1543,-0.8764
948,1546,-0.9578
950,1548,-1.0
952,1553,-0.9464
954,1557,-0.7066
956,1559,-1.0
958,1561,-1.0
960,1563,-1.0
962,1568,-0.8754
964,1571,-0.3681
966,1573,-0.8741
968,1579,-1.0
970,1582,-0.3669
972,1588,-0.4596
974,1591,-0.6829
976,1593,-1.0
978,1596,-0.651
980,1599,-1.0
982,1602,-0.7264
984,1604,-0.8049
986,1606,-1.0
988,1609,-0.9207
990,1613,-1.0
