episode,timestep,reward
2,7,-0.7519
4,10,-0.439
6,16,-0.8711
8,19,-0.4891
10,22,-1.0
12,28,-0.8688
14,30,-0.496
16,33,-0.7666
18,40,-0.4856
20,43,-0.5102
22,48,-0.796
24,50,-0.6097
26,52,-1.0
28,54,-1.0
30,59,-0.8203
32,62,-0.5442
34,65,-0.8834
36,68,-0.8378
38,72,-0.6339
40,76,-0.9881
42,78,-0.6487
44,84,-0.8754
46,89,0.0598
48,93,-0.9441
50,97,-0.6295
52,101,-0.9307
54,106,-0.247
56,109,-1.0
58,114,-0.5262
60,121,-0.6334
62,133,0.8641
64,140,-0.5246
66,145,-0.6969
68,147,-1.0
70,156,-0.9946
72,164,0.0227
74,177,-0.1736
76,186,0.1663
78,190,0.3355
80,199,-0.836
82,210,-0.0522
84,217,2.1886
86,227,-0.2273
88,240,-0.2598
90,254,2.9788
92,264,0.5821
94,272,0.121
96,275,-0.596
98,281,-0.7469
100,293,1.1241
102,296,-0.9308
104,301,-0.4471
106,310,-0.6265
108,318,0.6415
110,323,-0.7107
112,333,0.5087
114,336,-0.3437
116,347,0.8955
118,352,-0.7929
120,360,-0.5141
122,363,-0.8343
124,374,-0.3693
126,386,0.8881
128,399,0.445
130,409,-0.4433
132,422,0.4163
134,430,0.4509
136,434,-0.4494
138,439,-0.4682
140,444,-0.799
142,447,-0.1892
144,451,-0.2745
146,463,1.8542
148,467,-0.8296
150,472,-0.5206
152,482,0.242
154,484,-0.1208
156,495,-1.0
158,506,3.0138
160,508,-1.0
162,512,-1.0
164,524,0.7114
166,527,-0.6421
168,536,-0.0401
170,544,-1.0
172,556,0.234
174,566,0.745
176,586,1.0133
178,598,0.8035
180,600,1.0917
182,605,-1.0
184,611,-0.5012
186,616,-0.7421
188,620,-0.1295
190,630,-0.0152
192,633,-0.5023
194,636,-0.9259
196,643,-0.7135
198,646,-0.8798
200,658,-0.1371
202,669,-0.7107
204,683,1.201
206,695,0.8579
208,704,1.3965
210,715,-0.0589
212,735,1.9421
214,743,0.4993
216,750,-0.3419
218,761,-0.9561
220,776,2.9601
222,781,-0.5385
224,786,-0.5167
226,791,-0.7786
228,796,-0.6468
230,803,-0.975
232,813,0.1848
234,824,0.1449
236,827,-0.9646
238,830,-1.0
240,838,-0.3303
242,843,-0.813
244,857,0.48
246,865,0.142
248,872,0.1903
250,883,-0.5583
252,888,1.1114
254,906,-0.113
256,910,0.4085
258,913,-0.6105
260,915,-0.9291
262,924,0.0729
264,930,-0.3167
266,942,0.8706
268,945,-0.884
270,951,-0.6453
272,957,-0.5117
274,966,-0.2665
276,971,-0.8959
278,975,-0.3499
280,982,-0.2692
282,985,-0.3263
284,991,-0.942
286,999,-0.5158
288,1002,-0.3042
290,1008,-0.8673
292,1022,-0.5323
294,1028,1.694
296,1034,-0.4821
298,1036,-0.5205
300,1043,-0.2797
302,1053,-0.7289
304,1071,1.0005
306,1086,0.1702
308,1093,0.9161
310,1100,-0.1164
312,1104,-0.9824
314,1108,-0.9949
316,1121,-0.5036
318,1124,0.8281
320,1141,-0.0103
322,1147,0.2132
324,1149,-0.4202
326,1156,-0.253
328,1161,-1.0
330,1174,0.2637
332,1190,-0.0737
334,1192,0.8537
336,1197,-1.0
