episode,timestep,reward
2,30,0.5
4,50,0.0
6,70,0.0
8,90,0.0
10,110,1.0
12,130,0.0
14,150,0.0
16,170,0.0
18,190,0.25
20,210,0.75
22,230,1.0
24,250,1.5
26,270,1.25
28,290,0.25
30,310,1.0
32,330,0.75
34,350,1.25
36,370,0.0
38,390,0.5
40,410,1.0
42,430,0.0
44,450,0.25
46,470,2.0
48,490,0.5
50,510,1.0
52,530,2.25
54,550,1.5
56,570,0.0
58,590,1.75
60,610,0.5
62,630,1.25
64,650,1.75
66,670,4.0
68,690,1.5
70,710,1.25
72,730,1.25
74,750,4.0
76,770,2.0
78,790,2.5
80,810,2.75
82,830,1.0
84,850,3.5
86,870,2.0
88,890,2.0
90,910,0.5
92,930,3.5
94,950,2.25
96,970,1.75
98,990,4.75
100,1010,2.75
102,1030,3.75
104,1050,3.25
106,1070,3.75
108,1090,2.5
110,1110,3.5
112,1130,3.5
114,1150,5.25
116,1170,2.5
118,1190,4.0
120,1210,2.25
122,1230,1.5
124,1250,2.75
126,1270,3.75
128,1290,2.75
130,1310,2.75
132,1330,5.25
134,1350,3.0
136,1370,3.5
138,1390,2.75
140,1410,1.5
142,1430,4.25
144,1450,3.25
146,1470,4.0
148,1490,3.0
150,1510,4.5
152,1530,4.75
154,1550,2.75
156,1570,4.0
158,1590,4.0
160,1610,3.5
162,1630,3.25
164,1650,3.25
166,1670,3.5
168,1690,2.0
170,1710,4.0
172,1730,5.5
174,1750,5.25
176,1770,3.0
178,1790,2.25
180,1810,4.25
182,1830,4.25
184,1850,2.75
186,1870,4.75
188,1890,5.0
190,1910,4.25
192,1930,4.0
194,1950,3.0
196,1970,5.0
198,1990,5.75
200,2010,4.75
202,2030,3.0
204,2050,3.75
206,2070,4.75
208,2090,4.0
210,2110,5.5
212,2130,3.75
214,2150,3.75
216,2170,3.75
218,2190,3.5
220,2210,3.25
222,2230,3.0
224,2250,5.0
226,2270,4.0
228,2290,4.5
230,2310,4.5
232,2330,5.0
234,2350,4.75
236,2370,4.25
238,2390,4.25
240,2410,5.5
242,2430,2.75
244,2450,4.5
246,2470,2.75
248,2490,5.75
250,2510,3.5
252,2530,6.25
254,2550,5.5
256,2570,5.0
258,2590,3.75
260,2610,5.75
262,2630,4.75
264,2650,3.25
266,2670,5.25
268,2690,6.5
270,2710,3.75
272,2730,3.5
274,2750,4.25
276,2770,4.25
278,2790,5.25
280,2810,6.5
282,2830,3.0
284,2850,5.5
286,2870,4.75
288,2890,4.0
290,2910,4.75
292,2930,5.25
294,2950,4.75
296,2970,5.25
298,2990,5.5
300,3010,6.5
302,3030,4.25
304,3050,4.0
306,3070,5.25
308,3090,6.0
310,3110,6.5
312,3130,6.25
314,3150,3.75
316,3170,5.5
318,3190,5.0
320,3210,5.25
322,3230,6.25
324,3250,5.25
326,3270,6.0
328,3290,4.75
330,3310,6.25
332,3330,6.75
334,3350,6.5
336,3370,4.5
338,3390,4.0
340,3410,5.0
342,3430,6.25
344,3450,6.0
346,3470,6.0
348,3490,5.0
350,3510,4.5
352,3530,4.75
354,3550,6.0
356,3570,6.25
358,3590,3.75
360,3610,4.25
362,3630,6.25
364,3650,6.75
366,3670,4.5
368,3690,6.5
370,3710,5.25
372,3730,3.75
374,3750,6.75
376,3770,5.0
378,3790,3.75
380,3810,5.25
382,3830,3.75
384,3850,5.0
386,3870,6.5
388,3890,6.5
390,3910,5.75
392,3930,4.5
394,3950,5.75
396,3970,5.75
398,3990,4.25
400,4010,4.75
402,4030,4.0
404,4050,5.75
406,4070,5.0
408,4090,4.75
410,4110,6.0
412,4130,5.25
414,4150,4.25
416,4170,4.5
418,4190,4.75
420,4210,6.0
422,4230,5.0
424,4250,4.75
426,4270,6.0
428,4290,4.25
430,4310,6.5
432,4330,4.5
434,4350,6.25
436,4370,5.5
438,4390,5.75
440,4410,4.75
442,4430,4.25
444,4450,6.0
446,4470,6.25
448,4490,5.75
450,4510,5.25
452,4530,6.25
454,4550,3.75
456,4570,6.0
458,4590,5.25
460,4610,5.5
462,4630,5.5
464,4650,5.0
466,4670,4.5
468,4690,5.75
470,4710,5.5
472,4730,6.0
474,4750,4.25
476,4770,5.25
478,4790,6.25
480,4810,5.5
482,4830,6.25
484,4850,5.75
486,4870,4.0
488,4890,4.75
490,4910,6.5
492,4930,5.0
494,4950,5.0
496,4970,6.25
498,4990,3.5
500,5010,5.75
502,5030,6.0
504,5050,4.75
506,5070,5.75
508,5090,4.0
