episode,timestep,reward
2,13,0.0986
4,20,-0.3995
6,25,-0.9283
8,28,-0.634
10,33,-0.4759
12,39,-0.6672
14,42,-0.7046
16,47,-0.5142
18,52,-0.6228
20,55,-0.6355
22,61,-0.6936
24,66,-0.6903
26,71,-0.6395
28,78,-0.7645
30,86,-0.1564
32,91,-0.8064
34,95,-0.5627
36,101,-0.7204
38,109,-0.4687
40,121,-0.0784
42,131,-0.0789
44,139,0.6602
46,143,-0.5419
48,153,-0.8721
50,157,-0.3046
52,166,-0.5793
54,174,-0.5097
56,182,-0.5418
58,188,0.0183
60,197,-0.4714
62,204,-0.0659
64,210,0.2679
66,216,-0.7782
68,229,0.9751
70,236,-0.4938
72,242,0.057
74,251,-0.6896
76,262,0.2143
78,266,-0.8804
80,276,1.1208
82,278,-0.958
84,290,-0.7289
86,301,0.2048
88,318,1.3088
90,323,0.7996
92,334,2.0316
94,343,-0.7331
96,350,-0.1265
98,354,-0.9355
100,363,0.3201
102,369,-0.2648
104,374,-0.7519
106,380,-0.48
108,399,0.3637
110,418,2.3698
112,424,0.6861
114,437,-0.7386
116,453,2.411
118,461,2.1402
120,470,-0.9707
122,474,-0.1151
124,479,-0.3009
126,482,-0.9019
128,487,-0.6731
130,498,0.6005
132,509,-0.1711
134,518,-0.4562
136,528,1.363
138,546,-0.005
140,555,1.2891
142,564,-0.4949
144,574,0.9605
146,581,0.2225
148,586,-0.3638
150,591,-0.4395
152,609,0.0842
154,618,1.4052
156,629,0.2952
158,639,-0.1088
160,651,-0.6673
162,663,1.3309
164,673,-0.3526
166,689,-0.181
168,694,1.6761
170,703,-1
172,716,-0.2841
174,728,1.0406
176,731,0.2776
178,739,-1
180,744,-0.3406
182,758,-0.0774
184,763,0.6492
186,767,-0.4034
188,775,-0.3584
190,783,-0.6395
192,793,-0.4206
194,805,1.6619
196,814,-0.4791
198,818,0.9466
200,821,-0.6634
202,832,-1
204,836,1.192
206,849,-0.6238
208,851,-0.1568
210,860,0.2652
212,863,-1
214,872,-0.7145
216,888,0.9208
218,898,1.4027
220,908,-0.3215
222,913,-0.3654
224,922,0.0098
226,925,0.6981
228,929,-0.518
230,940,-1
232,944,0.9019
234,961,0.5476
236,965,0.7967
238,985,-0.3056
240,990,1.4406
242,1004,-0.4785
244,1015,1.4819
246,1026,-0.4796
248,1031,-0.1951
250,1036,-0.2336
252,1044,-0.9577
254,1047,-0.088
256,1052,-0.695
258,1063,-0.8815
260,1068,0.7231
262,1081,0.1684
264,1086,-0.3312
266,1090,-0.8606
268,1092,-0.2981
270,1100,-0.2233
272,1111,-0.2966
274,1121,-0.0931
276,1134,0.7369
278,1136,0.6541
280,1148,-0.2432
282,1153,-0.22
284,1156,-0.8381
286,1164,0.4682
288,1167,-0.6617
290,1173,-1
292,1185,2.2627
294,1190,-0.8178
296,1204,-0.2892
298,1214,1.0318
300,1216,-0.2876
302,1227,-0.6665
304,1241,2.5586
306,1252,-0.7001
308,1263,2.016
310,1276,-0.4966
312,1287,1.3053
314,1298,-1
316,1312,2.0973
318,1319,1.0694
320,1336,0.4471
322,1339,-0.1389
324,1350,-0.401
326,1360,0.8296
328,1365,-0.4889
330,1372,-0.7104
332,1378,-0.2163
334,1384,-0.7877
336,1391,-0.6863
338,1411,1.159
340,1423,1.4777
342,1428,-0.5948
344,1435,-0.3743
346,1444,0.6265
348,1449,-0.9401
350,1455,-0.1437
352,1464,0.2566
354,1472,-0.7439
