episode,timestep,reward
2,30,0.0
4,50,0.0
6,70,0.0
8,90,0.0
10,110,0.0
12,130,0.0
14,150,0.0
16,170,0.0
18,190,1.0
20,210,2.25
22,230,2.25
24,250,0.25
26,270,0.0
28,290,0.0
30,310,1.25
32,330,0.25
34,350,1.25
36,370,1.75
38,390,0.0
40,410,0.0
42,430,0.75
44,450,0.25
46,470,2.25
48,490,4.0
50,510,0.0
52,530,0.0
54,550,3.5
56,570,0.0
58,590,0.0
60,610,2.5
62,630,0.0
64,650,3.75
66,670,2.5
68,690,0.0
70,710,0.0
72,730,1.25
74,750,0.0
76,770,1.75
78,790,0.0
80,810,1.25
82,830,0.0
84,850,1.5
86,870,0.0
88,890,0.0
90,910,0.0
92,930,2.0
94,950,0.0
96,970,2.5
98,990,1.75
100,1010,0.75
102,1030,2.25
104,1050,3.5
106,1070,2.5
108,1090,2.25
110,1110,1.5
112,1130,1.75
114,1150,0.75
116,1170,5.0
118,1190,1.0
120,1210,1.75
122,1230,4.25
124,1250,3.0
126,1270,3.5
128,1290,4.75
130,1310,1.25
132,1330,0.0
134,1350,0.0
136,1370,2.0
138,1390,1.5
140,1410,0.0
142,1430,4.0
144,1450,1.25
146,1470,3.75
148,1490,2.0
150,1510,2.25
152,1530,2.5
154,1550,1.5
156,1570,0.0
158,1590,1.0
160,1610,4.0
162,1630,3.75
164,1650,0.0
166,1670,3.75
168,1690,3.25
170,1710,3.25
172,1730,3.5
174,1750,6.5
176,1770,3.75
178,1790,3.0
180,1810,1.5
182,1830,2.0
184,1850,3.75
186,1870,4.0
188,1890,5.5
190,1910,3.5
192,1930,1.5
194,1950,3.75
196,1970,1.25
198,1990,6.0
200,2010,1.5
202,2030,5.0
204,2050,3.25
206,2070,4.75
208,2090,8.25
210,2110,5.75
212,2130,1.25
214,2150,3.0
216,2170,2.0
218,2190,2.75
220,2210,3.0
222,2230,2.25
224,2250,2.0
226,2270,2.5
228,2290,1.5
230,2310,1.75
232,2330,1.75
234,2350,3.0
236,2370,2.0
238,2390,2.0
240,2410,2.25
242,2430,3.5
244,2450,2.25
246,2470,1.25
248,2490,1.75
250,2510,2.0
252,2530,2.25
254,2550,2.25
256,2570,3.25
258,2590,3.0
260,2610,2.25
262,2630,2.25
264,2650,2.0
266,2670,2.75
268,2690,2.25
270,2710,2.25
272,2730,1.5
274,2750,2.0
276,2770,3.5
278,2790,2.25
280,2810,2.5
282,2830,2.5
284,2850,2.75
286,2870,3.25
288,2890,3.25
290,2910,2.5
292,2930,2.25
294,2950,2.0
296,2970,3.0
298,2990,3.25
300,3010,4.0
302,3030,2.5
304,3050,2.25
306,3070,2.75
308,3090,2.5
