episode,timestep,reward
9,20,-0.8149
17,40,-0.4302
26,60,-0.7422
34,80,-0.6152
43,100,-0.72
54,120,-0.5859
63,140,-0.6689
72,160,-0.702
80,180,-0.7348
87,200,-0.4776
95,220,-0.4526
102,240,-0.6686
114,260,-0.8072
124,280,-0.6927
133,300,-0.74
143,320,-0.735
155,340,-0.7151
165,360,-0.6881
170,380,-0.3306
182,400,-0.8192
191,420,-0.6546
200,440,-0.7315
210,460,-0.7512
224,480,-0.8007
234,500,-0.7777
242,520,-0.4977
247,540,-0.3039
259,560,-0.7215
267,580,-0.6101
276,600,-0.7688
286,620,-0.785
294,640,-0.6159
299,660,-0.1273
305,680,0.0116
316,700,-0.8142
323,720,-0.5591
336,740,-0.8854
344,760,-0.7631
353,780,-0.7301
363,800,-0.6503
373,820,-0.6655
385,840,-0.8503
396,860,-0.8871
406,880,-0.7356
414,900,-0.4974
421,920,-0.5845
428,940,-0.4301
436,960,-0.6297
447,980,-0.8369
