episode,timestep,reward
5,20,-0.3733
13,40,-0.7037
17,60,-0.4003
22,80,-0.5499
29,100,-0.5643
35,120,-0.4676
38,140,-0.3031
42,160,0.6452
47,180,-0.7797
52,200,0.0646
54,220,2.0079
57,240,0.5094
60,260,0.4865
62,280,1.0556
68,300,-0.6807
73,320,-0.3164
75,340,1.2944
78,360,1.0781
82,380,0.2947
85,400,0.4661
88,420,-0.3106
91,440,0.8835
93,460,2.4404
96,480,0.0961
98,500,1.9905
100,520,0.2303
103,540,1.5256
106,560,0.359
110,580,-0.1998
112,600,1.1661
114,620,1.0902
116,640,1.1566
118,660,1.9532
121,680,1.7268
123,700,0.4828
125,720,2.2823
128,740,1.0808
130,760,2.3347
132,780,1.989
134,800,2.1145
136,820,3.364
138,840,2.2596
140,860,1.1009
143,880,0.4281
146,900,1.4175
148,920,1.7973
150,940,2.4487
152,960,2.6146
154,980,1.5451
156,1000,2.1594
158,1020,2.3346
160,1040,2.6941
162,1060,3.0325
164,1080,2.2795
168,1100,0.6832
170,1120,1.7981
172,1140,2.8578
175,1160,0.6438
177,1180,0.9122
180,1200,1.6898
182,1220,2.8064
184,1240,2.5889
186,1260,1.925
188,1280,2.1343
192,1300,0.7815
194,1320,2.7915
196,1340,3.2054
198,1360,2.1962
200,1380,2.8387
202,1400,2.9451
204,1420,4.4195
206,1440,4.0729
208,1460,1.7273
210,1480,2.1973
212,1500,2.0846
214,1520,1.5095
216,1540,2.4426
218,1560,3.5654
221,1580,1.5371
223,1600,1.9869
225,1620,2.3322
227,1640,2.3259
229,1660,2.4228
231,1680,3.8644
234,1700,2.0515
236,1720,4.7842
239,1740,0.52
241,1760,2.3302
243,1780,4.1697
245,1800,3.5944
248,1820,1.9573
250,1840,2.4685
252,1860,3.6418
254,1880,3.4675
256,1900,2.0463
260,1920,0.346
263,1940,2.4136
265,1960,2.0911
269,1980,1.1061
271,2000,3.4291
275,2020,1.3403
277,2040,3.3004
279,2060,2.1193
284,2080,1.0566
286,2100,3.8154
288,2120,4.0476
290,2140,1.7937
292,2160,2.4616
296,2180,1.2407
298,2200,2.3358
300,2220,2.7343
302,2240,2.9385
304,2260,3.6808
306,2280,0.7715
309,2300,1.6257
311,2320,3.318
313,2340,3.3667
315,2360,1.3533
317,2380,3.3888
321,2400,0.4304
323,2420,2.3924
325,2440,1.5029
328,2460,2.0295
330,2480,3.9515
332,2500,3.9146
334,2520,3.7248
336,2540,3.9213
338,2560,1.8177
340,2580,2.911
342,2600,2.9563
344,2620,3.8858
346,2640,2.3314
349,2660,1.6602
351,2680,5.0434
353,2700,3.4586
356,2720,1.6818
359,2740,0.7822
362,2760,2.4255
365,2780,1.3181
367,2800,2.3037
369,2820,1.1049
372,2840,2.1524
374,2860,3.6081
377,2880,2.0742
380,2900,1.8478
383,2920,0.3863
387,2940,0.9588
389,2960,1.3972
391,2980,3.3856
393,3000,1.966
395,3020,2.8542
397,3040,2.6807
399,3060,3.7877
402,3080,2.8893
404,3100,2.6329
406,3120,2.2993
408,3140,3.2379
411,3160,1.941
413,3180,2.1066
415,3200,3.7436
417,3220,3.0911
421,3240,1.2038
423,3260,2.6228
426,3280,1.0004
428,3300,2.4703
430,3320,2.3699
432,3340,1.9613
434,3360,2.7671
436,3380,2.9273
438,3400,2.8473
440,3420,2.2163
443,3440,1.5831
445,3460,1.7976
447,3480,3.188
449,3500,2.7144
451,3520,2.5981
453,3540,3.3673
455,3560,2.6981
457,3580,3.2509
460,3600,2.1025
464,3620,0.3532
