episode,timestep,reward
10,20,-0.7741
18,40,-0.7361
30,60,-0.7852
41,80,-0.8929
50,100,-0.5254
59,120,-0.6698
68,140,-0.6834
78,160,-0.6915
89,180,-0.7147
97,200,-0.5142
107,220,-0.8062
114,240,-0.6396
122,260,-0.3671
132,280,-0.6811
139,300,-0.4646
149,320,-0.7815
161,340,-0.7476
168,360,-0.5555
177,380,-0.7057
190,400,-0.8879
198,420,-0.6057
203,440,-0.1669
210,460,-0.5911
219,480,-0.6833
225,500,0.149
234,520,-0.6677
244,540,-0.7494
254,560,-0.7849
267,580,-0.9094
276,600,-0.6551
287,620,-0.8661
299,640,-0.6736
309,660,-0.8322
318,680,-0.7793
327,700,-0.8132
337,720,-0.7178
345,740,-0.6311
354,760,-0.7712
363,780,-0.6288
373,800,-0.6037
378,820,-0.2301
385,840,-0.3844
394,860,-0.7275
404,880,-0.6979
416,900,-0.6619
426,920,-0.8411
434,940,-0.5222
445,960,-0.812
454,980,-0.8
462,1000,-0.6548
466,1020,0.5466
475,1040,-0.5778
481,1060,-0.2988
490,1080,-0.6391
497,1100,-0.5988
504,1120,-0.52
510,1140,-0.2626
515,1160,0.1579
523,1180,-0.4445
533,1200,-0.8268
538,1220,-0.1502
547,1240,-0.7048
555,1260,-0.4983
564,1280,-0.6947
572,1300,-0.6164
580,1320,-0.653
588,1340,-0.5198
594,1360,-0.2434
600,1380,-0.3814
608,1400,-0.4953
620,1420,-0.7037
624,1440,0.0106
631,1460,-0.1977
636,1480,-0.5082
646,1500,-0.8053
654,1520,-0.4726
664,1540,-0.6934
669,1560,-0.304
676,1580,-0.4942
683,1600,-0.3689
690,1620,-0.3133
699,1640,-0.6468
709,1660,-0.7547
714,1680,-0.3549
721,1700,-0.2512
729,1720,-0.3881
738,1740,-0.5433
751,1760,-0.8573
758,1780,-0.5304
768,1800,-0.7106
774,1820,-0.4934
780,1840,-0.1358
789,1860,-0.4804
798,1880,-0.7016
801,1900,1.3176
813,1920,-0.8272
820,1940,-0.393
831,1960,-0.7512
838,1980,-0.1657
847,2000,-0.6727
855,2020,-0.5093
865,2040,-0.6736
872,2060,-0.4038
884,2080,-0.7555
892,2100,-0.4797
900,2120,-0.6166
908,2140,-0.5244
917,2160,-0.5872
921,2180,-0.2805
930,2200,-0.521
937,2220,-0.4085
946,2240,-0.6539
957,2260,-0.7123
966,2280,-0.6682
972,2300,-0.4374
983,2320,-0.7772
992,2340,-0.4449
1003,2360,-0.7141
1011,2380,-0.5294
1018,2400,-0.4469
1024,2420,-0.4339
1034,2440,-0.6914
1041,2460,-0.5277
1048,2480,-0.4866
1054,2500,-0.0234
1060,2520,-0.376
1068,2540,-0.529
1076,2560,-0.5755
1083,2580,-0.5372
1091,2600,-0.4898
1098,2620,-0.3245
1109,2640,-0.8557
1116,2660,-0.7235
1125,2680,-0.5762
1136,2700,-0.7876
1145,2720,-0.5588
1151,2740,-0.4609
1158,2760,-0.7384
1166,2780,-0.5044
1177,2800,-0.7855
1184,2820,-0.4895
1195,2840,-0.7588
1204,2860,-0.7745
1218,2880,-0.8558
1230,2900,-0.7939
1240,2920,-0.7425
1249,2940,-0.8093
1255,2960,-0.1212
1264,2980,-0.8501
