episode,timestep,reward
5,20,-0.6247
10,40,-0.4578
15,60,-0.6808
20,80,-0.5194
28,100,-0.6337
30,120,0.0588
37,140,-0.6954
41,160,-0.4388
45,180,-0.4996
48,200,-0.0172
52,220,-0.414
57,240,-0.484
62,260,-0.4604
67,280,-0.5503
71,300,-0.2083
76,320,-0.1893
81,340,-0.5142
85,360,-0.4405
90,380,-0.1835
96,400,-0.37
101,420,-0.6598
108,440,-0.654
114,460,-0.5283
118,480,-0.1461
122,500,-0.1367
127,520,-0.2122
134,540,-0.6343
142,560,-0.7514
147,580,-0.3763
155,600,-0.7163
160,620,-0.6486
165,640,-0.1622
170,660,-0.545
175,680,-0.3927
181,700,-0.582
184,720,-0.3594
187,740,-0.4759
194,760,-0.5875
198,780,-0.5281
202,800,-0.3866
208,820,-0.4681
213,840,-0.3874
216,860,-0.2463
222,880,-0.5723
226,900,-0.3097
233,920,-0.5997
239,940,-0.7344
244,960,-0.4074
252,980,-0.7136
258,1000,-0.6388
262,1020,-0.2814
267,1040,-0.5104
272,1060,-0.7667
279,1080,-0.5007
282,1100,-0.3541
285,1120,0.149
289,1140,-0.3841
294,1160,-0.5309
297,1180,0.3533
303,1200,-0.5538
308,1220,-0.5173
311,1240,-0.1048
315,1260,-0.01
320,1280,-0.4289
324,1300,-0.4232
329,1320,-0.5718
334,1340,-0.4789
338,1360,-0.5553
342,1380,-0.1481
345,1400,-0.0504
350,1420,-0.1048
353,1440,-0.0555
357,1460,-0.3751
363,1480,-0.6903
367,1500,-0.5029
371,1520,-0.2491
376,1540,-0.6166
380,1560,0.1678
383,1580,0.0641
386,1600,0.1435
392,1620,-0.4888
396,1640,-0.4748
400,1660,-0.1443
402,1680,0.4015
407,1700,-0.6629
412,1720,-0.0764
416,1740,0.028
418,1760,0.5359
421,1780,-0.1871
427,1800,-0.6059
433,1820,-0.5683
438,1840,-0.4012
440,1860,0.6537
445,1880,-0.3553
449,1900,-0.1648
455,1920,-0.6816
458,1940,0.1307
465,1960,-0.3285
467,1980,-0.1546
470,2000,0.5887
474,2020,0.3169
477,2040,-0.0616
480,2060,0.1764
483,2080,-0.116
486,2100,0.9068
489,2120,0.2651
493,2140,-0.0534
495,2160,-0.1704
500,2180,0.1357
504,2200,-0.0882
508,2220,-0.2148
511,2240,0.6307
514,2260,-0.2326
516,2280,1.3195
519,2300,-0.3105
522,2320,0.7461
525,2340,0.0656
527,2360,0.8606
530,2380,0.5019
535,2400,-0.269
537,2420,0.3285
540,2440,0.2978
543,2460,0.3013
546,2480,0.1703
548,2500,0.9563
552,2520,0.1748
554,2540,0.7997
556,2560,-0.2996
559,2580,0.8064
562,2600,-0.0196
