episode,timestep,reward
2,30,0.0
4,50,1.0
6,70,0.0
8,90,0.0
10,110,0.0
12,130,0.0
14,150,3.5
16,170,2.5
18,190,0.0
20,210,0.0
22,230,1.25
24,250,0.0
26,270,2.25
28,290,2.0
30,310,0.0
32,330,0.0
34,350,1.25
36,370,2.75
38,390,1.25
40,410,0.25
42,430,0.75
44,450,0.0
46,470,0.0
48,490,2.0
50,510,3.0
52,530,1.75
54,550,1.5
56,570,0.25
58,590,0.75
60,610,3.5
62,630,3.0
64,650,1.5
66,670,0.5
68,690,0.0
70,710,3.5
72,730,1.5
74,750,0.0
76,770,5.25
78,790,2.75
80,810,1.75
82,830,2.0
84,850,2.0
86,870,2.75
88,890,2.0
90,910,0.25
92,930,3.5
94,950,4.75
96,970,0.25
98,990,3.25
100,1010,3.5
102,1030,1.5
104,1050,3.0
106,1070,2.25
108,1090,0.5
110,1110,0.5
112,1130,0.0
114,1150,2.5
116,1170,0.75
118,1190,3.75
120,1210,2.25
122,1230,2.5
124,1250,3.5
126,1270,0.75
128,1290,0.0
130,1310,4.0
132,1330,2.0
134,1350,3.0
136,1370,2.5
138,1390,4.5
140,1410,0.25
142,1430,5.0
144,1450,0.5
146,1470,4.25
148,1490,4.5
150,1510,4.5
152,1530,5.25
154,1550,1.5
156,1570,2.5
158,1590,4.25
160,1610,2.5
162,1630,3.75
164,1650,3.5
166,1670,4.0
168,1690,3.75
170,1710,2.0
172,1730,1.5
174,1750,4.0
176,1770,2.5
178,1790,3.0
180,1810,0.75
182,1830,4.5
184,1850,3.0
186,1870,5.25
188,1890,1.5
190,1910,3.75
192,1930,2.0
194,1950,1.75
196,1970,3.25
198,1990,2.25
200,2010,7.5
202,2030,2.75
204,2050,2.25
206,2070,2.5
208,2090,5.25
210,2110,3.25
212,2130,5.0
214,2150,6.75
216,2170,7.0
218,2190,6.75
220,2210,2.0
222,2230,4.25
224,2250,4.0
226,2270,2.0
228,2290,4.0
230,2310,5.0
232,2330,4.0
234,2350,2.25
236,2370,4.75
238,2390,6.0
240,2410,3.25
242,2430,7.0
244,2450,5.5
246,2470,6.25
248,2490,6.0
250,2510,2.5
252,2530,4.25
254,2550,4.25
256,2570,4.75
258,2590,4.5
260,2610,7.75
262,2630,5.0
264,2650,8.25
266,2670,7.0
268,2690,7.75
270,2710,6.5
272,2730,4.25
274,2750,3.5
276,2770,6.75
278,2790,6.0
280,2810,5.0
282,2830,6.0
284,2850,8.0
286,2870,4.5
288,2890,6.25
290,2910,5.75
292,2930,3.5
294,2950,5.25
296,2970,3.5
298,2990,5.75
300,3010,7.0
302,3030,6.75
304,3050,4.75
306,3070,4.25
308,3090,3.75
310,3110,4.25
312,3130,7.25
314,3150,5.0
316,3170,6.75
318,3190,3.5
320,3210,6.0
322,3230,3.5
324,3250,7.75
326,3270,5.75
328,3290,7.75
330,3310,4.0
332,3330,7.5
334,3350,5.25
336,3370,4.5
338,3390,6.0
340,3410,4.0
342,3430,5.75
344,3450,5.75
346,3470,5.5
348,3490,6.25
350,3510,4.25
352,3530,3.25
354,3550,3.75
356,3570,5.5
358,3590,3.5
360,3610,5.75
362,3630,5.5
364,3650,6.0
366,3670,3.75
368,3690,2.5
370,3710,5.25
372,3730,6.5
374,3750,8.25
376,3770,7.0
378,3790,5.25
380,3810,5.25
382,3830,4.75
384,3850,6.75
386,3870,5.5
388,3890,6.5
390,3910,6.75
392,3930,5.5
394,3950,5.25
396,3970,5.75
398,3990,6.0
400,4010,5.25
402,4030,6.0
404,4050,5.25
406,4070,5.25
408,4090,5.75
410,4110,2.25
412,4130,5.5
414,4150,7.75
416,4170,6.25
418,4190,5.25
420,4210,5.5
422,4230,6.5
424,4250,6.75
426,4270,4.5
428,4290,5.5
430,4310,6.25
432,4330,7.0
434,4350,5.75
436,4370,5.25
438,4390,6.25
440,4410,7.0
442,4430,4.5
444,4450,5.75
446,4470,8.5
448,4490,4.25
450,4510,6.0
452,4530,7.25
454,4550,7.25
456,4570,6.0
458,4590,5.75
460,4610,4.0
462,4630,5.25
464,4650,5.5
466,4670,6.5
468,4690,4.75
470,4710,4.75
472,4730,6.5
474,4750,7.5
476,4770,5.75
478,4790,7.5
480,4810,7.0
482,4830,5.25
484,4850,6.0
486,4870,3.5
488,4890,5.0
490,4910,8.25
492,4930,8.5
494,4950,5.25
496,4970,6.0
498,4990,6.25
500,5010,6.25
502,5030,4.5
504,5050,6.75
506,5070,7.25
508,5090,7.0
510,5110,4.0
512,5130,6.75
514,5150,6.75
516,5170,5.75
518,5190,9.0
520,5210,5.25
522,5230,5.75
524,5250,5.75
526,5270,4.75
528,5290,6.75
530,5310,6.25
532,5330,6.75
534,5350,4.0
536,5370,7.5
538,5390,5.0
540,5410,4.25
542,5430,3.25
544,5450,4.5
546,5470,4.5
548,5490,7.0
550,5510,6.75
552,5530,7.0
554,5550,6.75
556,5570,9.0
558,5590,6.0
560,5610,4.25
562,5630,6.0
564,5650,6.75
566,5670,6.0
568,5690,5.75
570,5710,4.5
572,5730,4.25
574,5750,5.5
576,5770,6.0
