episode,timestep,reward
2,13,-0.6477
4,18,-0.5078
6,28,-0.1608
8,33,-0.6364
10,38,-0.7224
12,42,-0.7623
14,49,-0.9033
16,52,0.1951
18,55,-1.0
20,58,-0.8941
22,65,-0.8178
24,75,-0.4335
26,80,0.2869
28,85,-0.8546
30,90,-0.9771
32,95,-0.1774
34,98,-0.8303
36,106,-1.0
38,114,0.7435
40,118,-0.8793
42,125,-0.7304
44,133,-0.2122
46,144,-0.2502
48,149,0.2448
50,155,-0.0751
52,158,-1.0
54,171,-0.7654
56,175,0.8786
58,189,-0.5019
60,200,2.1917
62,203,-1.0
64,211,0.0879
66,221,-0.7924
68,226,-0.2349
70,229,-0.6063
72,237,-0.6747
74,250,0.1731
76,264,1.6761
78,277,0.2802
80,281,0.7464
82,300,1.2757
84,304,-0.0134
86,310,-0.4012
88,318,-0.8351
90,330,0.3328
92,342,2.3229
94,345,-0.2321
96,365,1.0272
98,368,0.6013
100,374,-0.8485
102,386,0.5944
104,397,-0.9613
106,404,1.4588
108,415,0.9321
110,417,-1.0
112,423,-0.919
114,438,1.9627
116,449,0.8551
118,457,-0.8855
120,469,1.6542
122,472,-0.724
124,484,0.0127
126,488,-0.4461
128,491,-0.9185
130,502,-0.4025
132,510,-0.8867
134,516,0.7273
136,519,-1.0
138,535,0.2992
140,540,0.4249
142,545,-0.9636
144,550,-0.433
146,558,-0.4252
148,560,-0.7638
150,566,-0.6898
152,569,-0.4334
154,573,-0.7966
156,588,1.3926
158,593,-0.1949
160,597,-1.0
162,609,-0.4709
164,617,1.3437
166,621,-0.2561
168,632,-0.3182
170,643,0.5198
172,652,-0.2799
174,655,-0.0681
176,661,-0.4632
178,668,-0.8194
180,678,-0.2483
182,680,-0.3561
184,688,-1.0
186,694,-0.1302
188,696,-0.6142
190,714,0.8105
192,722,0.1908
194,737,1.3786
196,740,-0.1092
198,742,-1.0
200,751,-0.2801
202,755,-0.5364
204,760,-0.7662
206,768,-0.3343
208,772,-0.4007
210,776,-0.9038
212,780,-0.4101
214,782,-1.0
216,787,-0.9361
218,802,1.807
220,813,-0.4334
222,822,1.7683
224,828,0.2423
226,833,-0.2379
228,840,-0.3547
230,844,-0.4074
232,850,-0.5974
234,862,-0.125
236,867,-0.3761
238,881,0.3383
240,887,0.0808
242,893,-0.2251
244,897,-0.5772
246,904,-0.4622
248,907,-0.8569
250,917,-1.0
252,936,1.3404
254,940,1.4299
256,949,-0.5298
258,954,0.6479
260,961,-0.8007
262,969,-0.2596
264,980,1.7873
266,988,-0.6024
268,990,-0.615
270,998,-0.0036
272,1005,-0.5452
274,1009,-0.2194
276,1011,-0.8403
278,1018,-0.6176
280,1027,-0.5444
282,1030,-0.0375
284,1042,0.6993
286,1046,-0.9117
288,1063,0.5556
290,1083,2.6478
292,1090,1.3817
294,1097,-0.4982
296,1106,0.3955
298,1108,-0.8491
300,1111,-1.0
302,1120,-0.5032
304,1124,0.3579
306,1130,-0.8044
308,1134,-0.8645
310,1151,-0.3249
312,1169,2.8314
314,1181,1.3584
316,1194,1.1942
318,1198,-0.9691
320,1205,-0.2874
322,1225,1.6783
324,1233,1.7522
326,1240,-0.0986
328,1251,-0.1184
330,1260,-0.6325
332,1268,0.0709
334,1276,-0.6665
336,1284,0.096
338,1298,0.8545
340,1308,0.7951
342,1312,-0.2421
344,1326,-0.7294
346,1335,1.1638
348,1341,-0.0633
350,1344,-0.5344
352,1352,-0.6469
354,1358,-0.3728
356,1365,-0.2336
358,1372,-0.0304
360,1385,-0.828
362,1393,0.3687
364,1406,0.9071
366,1418,0.6114
368,1431,2.5474
370,1439,0.3975
372,1445,-0.9865
374,1453,-0.2299
376,1458,-0.2513
378,1466,0.5315
380,1474,0.2594
382,1491,-0.3952
384,1500,1.3984
386,1503,-0.7464
388,1508,-0.7992
390,1523,0.905
392,1529,0.4749
394,1534,-1.0
396,1538,-0.8934
398,1545,-0.4523
400,1549,-1.0
402,1565,-0.0899
404,1576,1.0056
406,1581,0.0609
408,1591,0.1183
410,1594,-0.8346
412,1604,-1.0
414,1624,2.0371
416,1636,1.4905
418,1642,-0.5372
420,1651,-0.656
422,1656,0.1088
424,1664,0.3002
426,1682,0.415
428,1685,1.116
430,1693,-0.0923
432,1696,-0.7826
434,1704,-0.648
436,1714,0.0293
438,1720,-0.7881
440,1725,-0.0278
442,1734,-0.7394
444,1738,0.159
